Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Currency
2023-12-30T11:50:20-0800,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.01,0,,--,0.00,,,,,,,,USD
2023-12-29T14:00:00-0800,Money Movement,Credit Interest,,,,INTEREST ON CREDIT BALANCE,0.18,0,,--,0.00,,,,,,,,USD
2023-12-29T09:43:35-0800,Trade,Sell to Open,SELL_TO_OPEN,SPY   240216P00458000,Equity Option,Sold 1 SPY 02/16/24 Put 458.00 @ 2.94,294.00,1,294.00,-1.00,-0.132,100,SPY,SPY,2/16/24,458.0,PUT,301342998,USD
2023-12-29T09:43:35-0800,Trade,Buy to Close,BUY_TO_CLOSE,SPY   240119P00458000,Equity Option,Bought 1 SPY 01/19/24 Put 458.00 @ 0.86,-86.00,1,-86.00,0.00,-0.12,100,SPY,SPY,1/19/24,458.0,PUT,301342998,USD
2023-12-18T14:00:00-0800,Money Movement,Credit Interest,,,,INTEREST ON CREDIT BALANCE,0.16,0,,--,0.00,,,,,,,,USD
2023-12-14T11:27:57-0800,Trade,Sell to Open,SELL_TO_OPEN,SPY   240119P00458000,Equity Option,Sold 1 SPY 01/19/24 Put 458.00 @ 2.12,212.00,1,212.00,-1.00,-0.132,100,SPY,SPY,1/19/24,458.0,PUT,299482149,USD
2023-12-14T11:27:57-0800,Trade,Buy to Open,BUY_TO_OPEN,SPY   240419P00510000,Equity Option,Bought 1 SPY 04/19/24 Put 510.00 @ 40.88,"-4,088.00",1,"-4,088.00",-1.00,-0.12,100,SPY,SPY,4/19/24,510.0,PUT,299482149,USD
2023-12-14T07:25:05-0800,Trade,Buy to Close,BUY_TO_CLOSE,PYPL  240119C00060000,Equity Option,Bought 5 PYPL 01/19/24 Call 60.00 @ 4.64,"-2,320.00",5,-464.00,0.00,-0.60,100,PYPL,PYPL,1/19/24,60.0,CALL,299360665,USD
2023-12-14T07:25:05-0800,Trade,Sell to Close,SELL_TO_CLOSE,PYPL,Equity,Sold 500 PYPL @ 63.13,"31,565.00",500,63.13,0.00,-0.733,,,,,,,299360665,USD
2023-12-09T13:15:02-0800,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.02,0,,--,0.00,,,,,,,,USD
